token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
99926000,Nifty 50,NIFTY,,0,1,AMXIDX,NSE,0
99926001,Nifty GrowSect 15,NIFTY GROWSECT 15,,0,1,AMXIDX,NSE,0
99926002,Nifty50 PR 2x Lev,NIFTY50 PR 2X LEV,,0,1,AMXIDX,NSE,0
99926004,Nifty 500,NIFTY 500,,0,1,AMXIDX,NSE,0
99926008,Nifty IT,NIFTY IT,,0,1,AMXIDX,NSE,0
99926009,Nifty Bank,BANKNIFTY,,0,1,AMXIDX,NSE,0
99926011,NIFTY MIDCAP 100,NIFTY MIDCAP 100,,0,1,AMXIDX,NSE,0
99926012,Nifty 100,NIFTY 100,,0,1,AMXIDX,NSE,0
99926013,Nifty Next 50,NIFTYNXT50,,0,1,AMXIDX,NSE,0
99926014,Nifty Midcap 50,NIFTY MIDCAP 50,,0,1,AMXIDX,NSE,0
99926018,Nifty Realty,NIFTY REALTY,,0,1,AMXIDX,NSE,0
99926019,Nifty Infra,NIFTY INFRA,,0,1,AMXIDX,NSE,0
99926020,Nifty Energy,NIFTY ENERGY,,0,1,AMXIDX,NSE,0
99926021,Nifty FMCG,NIFTY FMCG,,0,1,AMXIDX,NSE,0
99926022,Nifty MNC,NIFTY MNC,,0,1,AMXIDX,NSE,0
99926023,Nifty Pharma,NIFTY PHARMA,,0,1,AMXIDX,NSE,0
99926024,Nifty PSE,NIFTY PSE,,0,1,AMXIDX,NSE,0
99926025,Nifty PSU Bank,NIFTY PSU BANK,,0,1,AMXIDX,NSE,0
99926026,Nifty Serv Sector,NIFTY SERV SECTOR,,0,1,AMXIDX,NSE,0
99926029,Nifty Auto,NIFTY AUTO,,0,1,AMXIDX,NSE,0
99926030,Nifty Metal,NIFTY METAL,,0,1,AMXIDX,NSE,0
99926031,Nifty Media,NIFTY MEDIA,,0,1,AMXIDX,NSE,0
99926032,NIFTY SMLCAP 100,NIFTY SMLCAP 100,,0,1,AMXIDX,NSE,0
99926033,Nifty 200,NIFTY 200,,0,1,AMXIDX,NSE,0
99926034,Nifty Div Opps 50,NIFTY DIV OPPS 50,,0,1,AMXIDX,NSE,0
99926035,Nifty Commodities,NIFTY COMMODITIES,,0,1,AMXIDX,NSE,0
99926036,Nifty Consumption,NIFTY CONSUMPTION,,0,1,AMXIDX,NSE,0
99926037,Nifty Fin Service,FINNIFTY,,0,1,AMXIDX,NSE,0
99926038,Nifty50 Div Point,NIFTY50 DIV POINT,,0,1,AMXIDX,NSE,0
99926040,Nifty100 Liq 15,NIFTY100 LIQ 15,,0,1,AMXIDX,NSE,0
99926041,Nifty CPSE,NIFTY CPSE,,0,1,AMXIDX,NSE,0
99926042,Nifty50 PR 1x Inv,NIFTY50 PR 1X INV,,0,1,AMXIDX,NSE,0
99926043,Nifty50 TR 2x Lev,NIFTY50 TR 2X LEV,,0,1,AMXIDX,NSE,0
99926044,Nifty50 TR 1x Inv,NIFTY50 TR 1X INV,,0,1,AMXIDX,NSE,0
99926045,Nifty50 Value 20,NIFTY50 VALUE 20,,0,1,AMXIDX,NSE,0
99926046,Nifty Mid Liq 15,NIFTY MID LIQ 15,,0,1,AMXIDX,NSE,0
99926047,Nifty Pvt Bank,NIFTY PVT BANK,,0,1,AMXIDX,NSE,0
99926048,NIFTY100 Qualty30,NIFTY100 QUALTY30,,0,1,AMXIDX,NSE,0
99926049,Nifty GS 8 13Yr,NIFTY GS 8 13YR,,0,1,AMXIDX,NSE,0
99926050,Nifty GS 10Yr,NIFTY GS 10YR,,0,1,AMXIDX,NSE,0
99926051,Nifty GS 10Yr Cln,NIFTY GS 10YR CLN,,0,1,AMXIDX,NSE,0
99926052,Nifty GS 4 8Yr,NIFTY GS 4 8YR,,0,1,AMXIDX,NSE,0
99926053,Nifty GS 11 15Yr,NIFTY GS 11 15YR,,0,1,AMXIDX,NSE,0
99926054,Nifty GS 15YrPlus,NIFTY GS 15YRPLUS,,0,1,AMXIDX,NSE,0
99926055,Nifty GS Compsite,NIFTY GS COMPSITE,,0,1,AMXIDX,NSE,0
99926056,NIFTY50 EQL Wgt,NIFTY50 EQL WGT,,0,1,AMXIDX,NSE,0
99926057,NIFTY100 EQL Wgt,NIFTY100 EQL WGT,,0,1,AMXIDX,NSE,0
99926058,NIFTY100 LowVol30,NIFTY100 LOWVOL30,,0,1,AMXIDX,NSE,0
99926059,NIFTY Alpha 50,NIFTY ALPHA 50,,0,1,AMXIDX,NSE,0
99926060,NIFTY MIDCAP 150,NIFTY MIDCAP 150,,0,1,AMXIDX,NSE,0
99926061,NIFTY SMLCAP 50,NIFTY SMLCAP 50,,0,1,AMXIDX,NSE,0
99926062,NIFTY SMLCAP 250,NIFTY SMLCAP 250,,0,1,AMXIDX,NSE,0
99926063,NIFTY MIDSML 400,NIFTY MIDSML 400,,0,1,AMXIDX,NSE,0
99926064,NIFTY200 QUALTY30,NIFTY200 QUALTY30,,0,1,AMXIDX,NSE,0
99926074,NIFTY MID SELECT,MIDCPNIFTY,,0,1,AMXIDX,NSE,0
10181,BALKRISHNA-EQ,BALKRISHNA,,-1,1,,NSE,1
10188,SHYAMCENT-EQ,SHYAMCENT,,-1,1,,NSE,1
1030,AARON-EQ,AARON,,-1,1,,NSE,1
1044,AXISBNKETF-EQ,AXISBNKETF,,-1,1,,NSE,1
10453,SATIN-EQ,SATIN,,-1,1,,NSE,1
1053,UFLEX-EQ,UFLEX,,-1,1,,NSE,5
10557,NAVKARCORP-EQ,NAVKARCORP,,-1,1,,NSE,1
10577,KRBL-EQ,KRBL,,-1,1,,NSE,5
10588,SHREEPUSHK-EQ,SHREEPUSHK,,-1,1,,NSE,5
10693,MOMENTUM-EQ,MOMENTUM,,-1,1,,NSE,1
1073,FOSECOIND-EQ,FOSECOIND,,-1,1,,NSE,50
10738,OFSS-EQ,OFSS,,-1,1,,NSE,50
10753,UNIONBANK-EQ,UNIONBANK,,-1,1,,NSE,1
10791,NUCLEUS-EQ,NUCLEUS,,-1,1,,NSE,10
10905,GENESYS-EQ,GENESYS,,-1,1,,NSE,5
10939,JUNIORBEES-EQ,JUNIORBEES,,-1,1,,NSE,1
10945,TMB-EQ,TMB,,-1,1,,NSE,5
10993,INDORAMA-EQ,INDORAMA,,-1,1,,NSE,1
11155,CREATIVE-EQ,CREATIVE,,-1,1,,NSE,5
11195,INDIGO-EQ,INDIGO,,-1,1,,NSE,50
11287,UPL-EQ,UPL,,-1,1,,NSE,5
11399,SALZERELEC-EQ,SALZERELEC,,-1,1,,NSE,5
11445,PILANIINVS-EQ,PILANIINVS,,-1,1,,NSE,10
11471,EXCELINDUS-EQ,EXCELINDUS,,-1,1,,NSE,10
11536,TCS-EQ,TCS,,-1,1,,NSE,10
11549,TEXINFRA-EQ,TEXINFRA,,-1,1,,NSE,1
11640,BOHRAIND-EQ,BOHRAIND,,-1,1,,NSE,1
11667,DWARKESH-EQ,DWARKESH,,-1,1,,NSE,1
11689,SUPRAJIT-EQ,SUPRAJIT,,-1,1,,NSE,5
11699,PATELENG-EQ,PATELENG,,-1,1,,NSE,1
11787,GOYALALUM-EQ,GOYALALUM,,-1,1,,NSE,1
11798,ALLDIGI-EQ,ALLDIGI,,-1,1,,NSE,5
11813,SHOPERSTOP-EQ,SHOPERSTOP,,-1,1,,NSE,5
11821,WELCORP-EQ,WELCORP,,-1,1,,NSE,5
11829,SSWL-EQ,SSWL,,-1,1,,NSE,1
11943,MCLEODRUSS-EQ,MCLEODRUSS,,-1,1,,NSE,1
11956,MEDANTA-EQ,MEDANTA,,-1,1,,NSE,10
11999,FCSSOFT-EQ,FCSSOFT,,-1,1,,NSE,1
12018,SUZLON-EQ,SUZLON,,-1,1,,NSE,1
12032,FIVESTAR-EQ,FIVESTAR,,-1,1,,NSE,5
12034,BASML-EQ,BASML,,-1,1,,NSE,1
12108,HDFCPVTBAN-EQ,HDFCPVTBAN,,-1,1,,NSE,1
12578,FINIETF-EQ,FINIETF,,-1,1,,NSE,1
10217,ADANIENSOL-EQ,ADANIENSOL,,-1,1,,NSE,5
10350,CSLFINANCE-EQ,CSLFINANCE,,-1,1,,NSE,5
10397,JISLJALEQS-EQ,JISLJALEQS,,-1,1,,NSE,1
10585,MOM30IETF-EQ,MOM30IETF,,-1,1,,NSE,1
10634,ASAL-EQ,ASAL,,-1,1,,NSE,5
10726,INDIAMART-EQ,INDIAMART,,-1,1,,NSE,10
10768,OAL-EQ,OAL,,-1,1,,NSE,5
10825,MOVALUE-EQ,MOVALUE,,-1,1,,NSE,1
10893,DBOL-EQ,DBOL,,-1,1,,NSE,1
1110,DANGEE-EQ,DANGEE,,-1,1,,NSE,1
1134,APOLLO-EQ,APOLLO,,-1,1,,NSE,5
11212,SHK-EQ,SHK,,-1,1,,NSE,1
11253,WELSPUNLIV-EQ,WELSPUNLIV,,-1,1,,NSE,1
11256,JAIBALAJI-EQ,JAIBALAJI,,-1,1,,NSE,1
11591,HDFCNIFTY-EQ,HDFCNIFTY,,-1,1,,NSE,1
11630,NTPC-EQ,NTPC,,-1,1,,NSE,5
11763,JPPOWER-EQ,JPPOWER,,-1,1,,NSE,1
11817,MANGALAM-EQ,MANGALAM,,-1,1,,NSE,1
11880,JSWHL-EQ,JSWHL,,-1,1,,NSE,100
11892,VHL-EQ,VHL,,-1,1,,NSE,10
1190,FMGOETZE-EQ,FMGOETZE,,-1,1,,NSE,5
12072,SCPL-EQ,SCPL,,-1,1,,NSE,1
12092,KAYNES-EQ,KAYNES,,-1,1,,NSE,50
12173,HNDFDS-EQ,HNDFDS,,-1,1,,NSE,5
1247,GSFC-EQ,GSFC,,-1,1,,NSE,1
12533,AAATECH-EQ,AAATECH,,-1,1,,NSE,1
1011,SCHAEFFLER-EQ,SCHAEFFLER,,-1,1,,NSE,10
10099,GODREJCP-EQ,GODREJCP,,-1,1,,NSE,10
1023,FEDERALBNK-EQ,FEDERALBNK,,-1,1,,NSE,1
1038,FINCABLES-EQ,FINCABLES,,-1,1,,NSE,5
10300,RAMASTEEL-EQ,RAMASTEEL,,-1,1,,NSE,1
10310,AURUM-EQ,AURUM,,-1,1,,NSE,1
10512,CONS-EQ,CONS,,-1,1,,NSE,1
10580,TCI-EQ,TCI,,-1,1,,NSE,10
10666,PNB-EQ,PNB,,-1,1,,NSE,1
10690,NIFTYQLITY-EQ,NIFTYQLITY,,-1,1,,NSE,1
10733,SPORTKING-EQ,SPORTKING,,-1,1,,NSE,1
10793,SYRMA-EQ,SYRMA,,-1,1,,NSE,5
10932,RADAAN-EQ,RADAAN,,-1,1,,NSE,1
11032,SANGINITA-EQ,SANGINITA,,-1,1,,NSE,1
11037,BANKIETF-EQ,BANKIETF,,-1,1,,NSE,1
11140,SUMIT-EQ,SUMIT,,-1,1,,NSE,1
11226,BAGFILMS-EQ,BAGFILMS,,-1,1,,NSE,1
11241,HDFCGROWTH-EQ,HDFCGROWTH,,-1,1,,NSE,1
11255,HDFCQUAL-EQ,HDFCQUAL,,-1,1,,NSE,1
11265,TVSELECT-EQ,TVSELECT,,-1,1,,NSE,5
11309,BALAXI-EQ,BALAXI,,-1,1,,NSE,1
11343,AFFLE-EQ,AFFLE,,-1,1,,NSE,10
11351,PETRONET-EQ,PETRONET,,-1,1,,NSE,5
11355,PTC-EQ,PTC,,-1,1,,NSE,1
1139,GICHSGFIN-EQ,GICHSGFIN,,-1,1,,NSE,1
11377,MAHABANK-EQ,MAHABANK,,-1,1,,NSE,1
11407,XPROINDIA-EQ,XPROINDIA,,-1,1,,NSE,10
11483,LT-EQ,LT,,-1,1,,NSE,10
11491,APARINDS-EQ,APARINDS,,-1,1,,NSE,50
11571,PPLPHARMA-EQ,PPLPHARMA,,-1,1,,NSE,1
11581,GULFPETRO-EQ,GULFPETRO,,-1,1,,NSE,1
