symbol,token,name
Nifty 50,99926000,NIFTY
Nifty GrowSect 15,99926001,NIFTY GROWSECT 15
Nifty50 PR 2x Lev,99926002,NIFTY50 PR 2X LEV
Nifty 500,99926004,NIFTY 500
Nifty IT,99926008,NIFTY IT
Nifty Bank,99926009,BANKNIFTY
NIFTY MIDCAP 100,99926011,NIFTY MIDCAP 100
Nifty 100,99926012,NIFTY 100
Nifty Next 50,99926013,NIFTYNXT50
Nifty Midcap 50,99926014,NIFTY MIDCAP 50
Nifty Realty,99926018,NIFTY REALTY
Nifty Infra,99926019,NIFTY INFRA
Nifty Energy,99926020,NIFTY ENERGY
Nifty FMCG,99926021,NIFTY FMCG
Nifty MNC,99926022,NIFTY MNC
Nifty Pharma,99926023,NIFTY PHARMA
Nifty PSE,99926024,NIFTY PSE
Nifty PSU Bank,99926025,NIFTY PSU BANK
Nifty Serv Sector,99926026,NIFTY SERV SECTOR
Nifty Auto,99926029,NIFTY AUTO
Nifty Metal,99926030,NIFTY METAL
Nifty Media,99926031,NIFTY MEDIA
NIFTY SMLCAP 100,99926032,NIFTY SMLCAP 100
Nifty 200,99926033,NIFTY 200
Nifty Div Opps 50,99926034,NIFTY DIV OPPS 50
Nifty Commodities,99926035,NIFTY COMMODITIES
Nifty Consumption,99926036,NIFTY CONSUMPTION
Nifty Fin Service,99926037,FINNIFTY
Nifty50 Div Point,99926038,NIFTY50 DIV POINT
Nifty100 Liq 15,99926040,NIFTY100 LIQ 15
Nifty CPSE,99926041,NIFTY CPSE
Nifty50 PR 1x Inv,99926042,NIFTY50 PR 1X INV
Nifty50 TR 2x Lev,99926043,NIFTY50 TR 2X LEV
Nifty50 TR 1x Inv,99926044,NIFTY50 TR 1X INV
Nifty50 Value 20,99926045,NIFTY50 VALUE 20
Nifty Mid Liq 15,99926046,NIFTY MID LIQ 15
Nifty Pvt Bank,99926047,NIFTY PVT BANK
NIFTY100 Qualty30,99926048,NIFTY100 QUALTY30
Nifty GS 8 13Yr,99926049,NIFTY GS 8 13YR
Nifty GS 10Yr,99926050,NIFTY GS 10YR
Nifty GS 10Yr Cln,99926051,NIFTY GS 10YR CLN
Nifty GS 4 8Yr,99926052,NIFTY GS 4 8YR
Nifty GS 11 15Yr,99926053,NIFTY GS 11 15YR
Nifty GS 15YrPlus,99926054,NIFTY GS 15YRPLUS
Nifty GS Compsite,99926055,NIFTY GS COMPSITE
NIFTY50 EQL Wgt,99926056,NIFTY50 EQL WGT
NIFTY100 EQL Wgt,99926057,NIFTY100 EQL WGT
NIFTY100 LowVol30,99926058,NIFTY100 LOWVOL30
NIFTY Alpha 50,99926059,NIFTY ALPHA 50
NIFTY MIDCAP 150,99926060,NIFTY MIDCAP 150
NIFTY SMLCAP 50,99926061,NIFTY SMLCAP 50
NIFTY SMLCAP 250,99926062,NIFTY SMLCAP 250
NIFTY MIDSML 400,99926063,NIFTY MIDSML 400
NIFTY200 QUALTY30,99926064,NIFTY200 QUALTY30
NIFTY MID SELECT,99926074,MIDCPNIFTY
BALKRISHNA-EQ,10181,BALKRISHNA
SHYAMCENT-EQ,10188,SHYAMCENT
AARON-EQ,1030,AARON
AXISBNKETF-EQ,1044,AXISBNKETF
SATIN-EQ,10453,SATIN
UFLEX-EQ,1053,UFLEX
NAVKARCORP-EQ,10557,NAVKARCORP
KRBL-EQ,10577,KRBL
SHREEPUSHK-EQ,10588,SHREEPUSHK
MOMENTUM-EQ,10693,MOMENTUM
FOSECOIND-EQ,1073,FOSECOIND
OFSS-EQ,10738,OFSS
UNIONBANK-EQ,10753,UNIONBANK
NUCLEUS-EQ,10791,NUCLEUS
GENESYS-EQ,10905,GENESYS
JUNIORBEES-EQ,10939,JUNIORBEES
TMB-EQ,10945,TMB
INDORAMA-EQ,10993,INDORAMA
CREATIVE-EQ,11155,CREATIVE
INDIGO-EQ,11195,INDIGO
UPL-EQ,11287,UPL
SALZERELEC-EQ,11399,SALZERELEC
PILANIINVS-EQ,11445,PILANIINVS
EXCELINDUS-EQ,11471,EXCELINDUS
TCS-EQ,11536,TCS
TEXINFRA-EQ,11549,TEXINFRA
BOHRAIND-EQ,11640,BOHRAIND
DWARKESH-EQ,11667,DWARKESH
SUPRAJIT-EQ,11689,SUPRAJIT
PATELENG-EQ,11699,PATELENG
